project_name,project_details,project_status,publish_date,budget,duration,skills,link
ربط جيميناي بسوقي الألكتروني لمراقبة المحتوى الممنوع وحظره,أبحث عن مبرمج محترف متخصص بربط ادوات الذكاء الاصطناعي عن طريق api أريده أن يربط لي جيميناي فلاش 3 بسوقي الالكتروني كي يراقب المحتوى المسيء أو المحظور الذي قد ينشره المستخدمون على سوقي الألكتروني، ويحظره مباشرةً ويظهر نافذة منبثقة للمستخدم بأن المحتوى الذي يريد نشره ممنوع، ويعطيني بلاغ عن المحتوى الذي فيه شك كي اراجعه يدويا,مفتوح,2026-03-26 20:03:58,$50.00 - $100.00,"3
    أيام","الأتمة بالذكاء الاصطناعي, الذكاء الاصطناعي, تخصيص نماذج الذكاء الاصطناعي, واجهة برمجة التطبيقات, Gemini, برمجة",https://mostaql.com/project/1001735-%D8%B1%D8%A8%D8%B7-%D8%AC%D9%8A%D9%85%D9%8A%D9%86%D8%A7%D9%8A-%D8%A8%D8%B3%D9%88%D9%82%D9%8A-%D8%A7%D9%84%D8%A3%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%84%D9%85%D8%B1%D8%A7%D9%82%D8%A8%D8%A9-%D8%A7%D9%84%D9%85%D8%AD%D8%AA%D9%88%D9%89-%D8%A7%D9%84%D9%85%D9%85%D9%86%D9%88%D8%B9-%D9%88%D8%AD%D8%B8%D8%B1%D9%87
مختص مالي تقييم ذو خبرة,تقييم وعرض مالي لتدفقات نقدية مستقبلية مع الرسم البياني بشكل احترافي,مفتوح,2026-03-26 18:53:13,$50.00 - $100.00,"5
    أيام","الإدارة المالية, محاسبة مالية, التقييم المالي, تحليل الأسواق المالية, استشارات مالية",https://mostaql.com/project/1222292-%D9%85%D8%AE%D8%AA%D8%B5-%D9%85%D8%A7%D9%84%D9%8A-%D8%AA%D9%82%D9%8A%D9%8A%D9%85-%D8%B0%D9%88-%D8%AE%D8%A8%D8%B1%D8%A9
إدخال بيانات (عمل جزئي عن بُعد),نبحث عن مستقل محترف للعمل معنا عن بُعد بنظام العمل الجزئي في مهمة إدخال البيانات التشغيلية الخاصة بالمنشأة (مطعم)، مع الالتزام بالدقة والسرعة في الإنجاز. ? المهام المطلوبة • إدخال بيانات الفواتير والمشتريات والمصروفات. • تسجيل عمليات صرف المستودع ومتابعة الكميات. • توثيق بيانات الهدر بشكل منظم. • تحديث الجداول والملفات بشكل مستمر. • مراجعة البيانات والتأكد من صحتها قبل الاعتماد. ? المتطلبات • خبرة سابقة في إدخال البيانات أو العمل الإداري. • إجادة استخدام Excel . • قدرة على التنظيم والدقة في التفاصيل. • التزام بالسرية التامة للبيانات. • توفر وقت يومي لإنجاز المهام المطلوبة. ⏱️ نظام العمل • عمل جزئي عن بُعد. • يتم تحديد ساعات العمل أو المهام حسب الاتفاق. ? طريقة الدفع •بالمهام، أو بنظام شهري — حسب الاتفاق مع المستقل المناسب. ? طريقة التقديم يرجى إرسال: • نبذة مختصرة عن الخبرة. • أمثلة على أعمال مشابهة (إن وجدت). • السعر المقترح. • عدد الساعات المتاحة يوميًا.,مفتوح,2026-03-26 18:52:37,$50.00 - $100.00,"3
    أيام","إدخال بيانات, مايكروسوفت إكسل, محاسبة, محاسبة مالية",https://mostaql.com/project/1224020-%D8%A5%D8%AF%D8%AE%D8%A7%D9%84-%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D8%B9%D9%85%D9%84-%D8%AC%D8%B2%D8%A6%D9%8A-%D8%B9%D9%86-%D8%A8%D8%B9%D8%AF
مطور تطبيقات باستخدام الflutter,السلام عليكم بحاجة الى شخص لديه القدرة بالتعامل مع تطبيقات الflutter لتعديل على تطبيق جاهز ويعمل بعدة جزئيات,مفتوح,2026-03-26 18:49:33,$50.00 - $100.00,"7
    أيام","استكشاف الأخطاء وإصلاحها, تصحيح برمجي, تطوير البرمجيات, تطوير التطبيقات, كوتلن, Ionic, Swift, جافا",https://mostaql.com/project/1224019-%D9%85%D8%B7%D9%88%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D8%A7%D8%AA-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A7%D9%84flutter
باحثة للعمل عن بُعد,نبحث عن باحثة جادة ومنظمة للعمل عن بُعد ، للمساهمة في إعداد المواد البحثية والتحليلية المتعلقة بالشأن الانتخابي، والسلوك التصويتي، والبيئة السياسية. العمل مناسب لمن تمتلك قدرة قوية على البحث المنهجي، تنظيم المعلومات، التلخيص التحليلي، الكتابة الاحترافية، والالتزام بالمواعيد، مع اهتمام بالشأن السياسي أو الانتخابي أو البحث العلمي. المهام المطلوبة: البحث عن المصادر والمراجع والدراسات والتقارير ذات الصلة بالموضوعات الانتخابية والسياسية. إعداد ملخصات بحثية وتقارير أولية ومنظمة. التدقيق اللغوي الأولي وتنسيق المحتوى البحثي. الالتزام بالسرية المهنية في التعامل مع الملفات والمعلومات. المؤهلات المطلوبة: خبرة سابقة في البحث، إعداد التقارير، أو العمل الأكاديمي/التحليلي.النشر في المجلات العلمية مهارة جيدة في اللغة العربية كتابةً وصياغةً. يفضل وجود معرفة بالشأن الانتخابي أو السياسي أو القانوني أو الإعلامي. القدرة على العمل عن بُعد، التواصل المنتظم، وتسليم المهام في الوقت المحدد.,مفتوح,2026-03-26 18:41:53,$100.00 - $250.00,"30
    يوما","الكتابة على الإنترنت, الكتابة الإبداعية, التدقيق اللغوي, تصحيح إملائي, البحث والتطوير, كتابة مقالات, كتابة المحتوى, اللغة العربية",https://mostaql.com/project/1224011-%D8%A8%D8%A7%D8%AD%D8%AB%D8%A9-%D9%84%D9%84%D8%B9%D9%85%D9%84-%D8%B9%D9%86-%D8%A8%D8%B9%D8%AF
مساعدة في التقديم على برامج ماجستير في جامعات دولية (بريطانيا / إيطاليا / كندا / أستراليا),السلام عليكم أبحث عن مستشار تعليمي أو مختص لديه خبرة أكاديمية للمساعدة في تقديم طلب قبول جامعي لطالب مقيم حاليًا في غزة، ويرغب باستكمال دراسة درجة الماجستير في إحدى الجامعات في (بريطانيا، إيطاليا، كندا، أو أستراليا). تفاصيل المشروع: ترشيح جامعات وبرامج ماجستير مناسبة حسب التخصص الإرشاد بخصوص متطلبات القبول لكل جامعة تقديم الطلبات عبر القنوات الرسمية للجامعات المتابعة حتى الحصول على القبول المبدئي (Offer Letter) المتطلبات: خبرة مثبتة في مجال القبولات الجامعية الدولية معرفة بأنظمة التعليم في الدول المذكورة قدرة على التعامل مع حالات طلاب من مناطق ذات ظروف خاصة الالتزام بالإجراءات الرسمية والقانونية المخرجات المتوقعة: تقديم طلبات مكتملة لعدة جامعات الحصول على قبول جامعي (إن أمكن) توجيه واضح للخطوات التالية (الفيزا، السكن، إلخ) ملاحظات: سيتم تزويد المستقل بجميع الوثائق والمعلومات الأكاديمية اللازمة لإتمام عملية التقديم.,مفتوح,2026-03-26 18:41:02,$50.00 - $100.00,"10
    أيام","مساعد افتراضي, استشارات الهجرة والتأشيرات, تنسيق النصوص, الكتابة على الإنترنت",https://mostaql.com/project/1224007-%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%AA%D9%82%D8%AF%D9%8A%D9%85-%D8%B9%D9%84%D9%89-%D8%A8%D8%B1%D8%A7%D9%85%D8%AC-%D9%85%D8%A7%D8%AC%D8%B3%D8%AA%D9%8A%D8%B1-%D9%81%D9%8A-%D8%AC%D8%A7%D9%85%D8%B9%D8%A7%D8%AA-%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D8%A8%D8%B1%D9%8A%D8%B7%D8%A7%D9%86%D9%8A%D8%A7-%D8%A5%D9%8A%D8%B7%D8%A7%D9%84%D9%8A%D8%A7-%D9%83%D9%86%D8%AF%D8%A7-%D8%A3%D8%B3%D8%AA%D8%B1%D8%A7%D9%84%D9%8A%D8%A7
إكمال وتجهيز متجر شوبيفاي احترافي (English) لبراند فاخر,"ابحث عن خبير شوبيفاي محترف لإكمال إعداد متجر إلكتروني لمنتج هندسي فاخر (ستاند لابتوب ألمنيوم ميكانيكي). المتجر موجه بالكامل لسوق الإمارات باللغة الإنجليزية، ويجب أن يعكس طابعاً هندسياً، احترافياً، وبسيطاً (Minimalist). المهام المطلوبة: إعداد الصفحة الرئيسية (Landing Page): بأسلوب Direct Response يركز على رفع معدل التحويل (Conversion Rate). الهوية البصرية: ضبط الألوان والخطوط لتناسب براند (MOBRAM) ليكون المظهر فخماً وعصرياً. قسم المنتج (Featured Product): ترتيب القسم ليكون الشراء منه سلساً وبخطوة واحدة (Direct Checkout focus). تجربة المستخدم (UX): تفعيل الـ Cart Drawer (السلة الجانبية) بدلاً من صفحة السلة التقليدية. التوافق والسرعة: ضمان توافق المتجر بنسبة 100% مع الجوال وسرعة تحميل فائقة (Page Speed Optimization). المرونة المستقبلية: بناء المتجر باستخدام أقسام شوبيفاي القياسية (OS 2.0 Sections) لضمان سهولة إضافة أو تعديل منتجات أخرى مستقبلاً دون الحاجة لتدخل برمجي. إعدادات الدفع: التأكد من ظهور أيقونات الدفع (Apple Pay, Visa, Mastercard) في الفوتر بشكل احترافي. ملاحظات هامة: لا أبحث عن حشو بصري أو ألوان فاقعة. المطلوب هو تصميم نظيف (Clean Design) ومساحات بيضاء مريحة تبرز جودة المنتج. الأفضلية لمن لديه سابقة أعمال في تصميم متاجر (One Product Store) أو متاجر الأدوات التقنية الفاخرة.",مفتوح,2026-03-26 18:37:44,$50.00 - $100.00,"3
    أيام","تصميم متجر إلكتروني, إنشاء متجر إلكتروني, شوبيفاي, تصميم موقع إلكتروني, تصميم واجهة وتجربة المستخدم, اللغة الإنجليزية, قوالب شوبيفاي",https://mostaql.com/project/1224002-%D8%A5%D9%83%D9%85%D8%A7%D9%84-%D9%88%D8%AA%D8%AC%D9%87%D9%8A%D8%B2-%D9%85%D8%AA%D8%AC%D8%B1-%D8%B4%D9%88%D8%A8%D9%8A%D9%81%D8%A7%D9%8A-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-english-%D9%84%D8%A8%D8%B1%D8%A7%D9%86%D8%AF-%D9%81%D8%A7%D8%AE%D8%B1
محرر فيديو لقناة قصص إسلامية — توليد مشاهد بالذكاء الاصطناعي ومونتاج على Capcut,أبحث عن محرر محترف للعمل بشكل دائم ومنتظم على قناة يوتيوب إسلامية باللغة العربية متخصصة في القصص الإسلامية. هذه فرصة عمل شهرية ثابتة بميزانية 300 دولار شهرياً ويتم تجديد المشروع لمن يثبت كفاءته والتزامه. المهام المطلوبة: • توليد مشاهد بصرية باستخدام أدوات الذكاء الاصطناعي (مثل groc أو kling أو ما شابه) بناءً على التعليمات التي أوفرها • تجميع المشاهد ومونتاجها على منصة capcat • إضافة المشاهد إلى التايم لاين بشكل منسق مع الصوت • إضافة كابشن (ترجمة / تعليقات نصية) باللغة العربية طبيعة التعاون: • العمل شهري ومستمر مع إمكانية التجديد لأجل غير مسمى • الميزانية: 300 دولار شهرياً ثابت • العمل بسيط ومنظم، سأزودك بجميع التفاصيل والإرشادات لكل فيديو • التواصل المستمر مع صاحب القناة لضمان الجودة ملاحظات مهمة: • القناة إسلامية، يجب الالتزام بالمحتوى المناسب • المحتوى باللغة العربية بالكامل • أبحث عن شخص جاد وملتزم للعمل على المدى الطويل أرجو من المتقدمين إرفاق أمثلة من أعمالهم السابقة في مجال تحرير الفيديو أو استخدام أدوات الذكاء الاصطناعي.,مفتوح,2026-03-26 18:11:40,$250.00 - $500.00,"3
    أيام","الفكرة التصميمية, التصميم الإبداعي, مونتاج فيديو, إنتاج الفيديو, الذكاء الاصطناعي, إنشاء فيديو يوتيوب, تصميم فيديو",https://mostaql.com/project/1224001-%D9%85%D8%AD%D8%B1%D8%B1-%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%84%D9%82%D9%86%D8%A7%D8%A9-%D9%82%D8%B5%D8%B5-%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9-%D8%AA%D9%88%D9%84%D9%8A%D8%AF-%D9%85%D8%B4%D8%A7%D9%87%D8%AF-%D8%A8%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D9%88%D9%85%D9%88%D9%86%D8%AA%D8%A7%D8%AC-%D8%B9%D9%84%D9%89-capcut
تطوير تطبيق Flutter احترافي لنظام إدارة شحن لوجستي,"نبحث عن مطور Flutter محترف لتنفيذ المرحلة الثانية من نظام لوجستي متكامل لإدارة الشحنات والرحلات والعمليات المالية. مهم: المشروع ليس فكرة أو MVP، بل نظام تم تصميمه بالكامل مسبقًا من الناحية الفنية، والمشروع مجهز بالكامل داخل Notion ويحتوي على جميع التفاصيل علي سبيل الحصر لا المثال: Overview, Architecture, Database design, Database mapping, Firestore made database structure, Business Rules, Validation Matrix, Error Handling & Edge Cases, User Flows / UX Flows, User Roles & Permissions, Screen Inventory / UI Pages List, Notifications Matrix, API Contract Specification, API Design + Firestore Queries, API Documentation, OpenAPI YAML Skeleton, API Events Mapping, Audit, Security, Functions, AI, Integrations, Operations, Financial, Testing Strategy / Test Cases, Deployment & Environment Setup, Decision Log, Phase 2 جميع التفاصيل الفنية المعتمدة موجودة داخل Notion، ويُعتبر المرجع الأساسي والملزم للتنفيذ (Source of Truth)، ويجب أن يتطابق التنفيذ بشكل كامل مع ما هو موثق فيه دون اجتهاد أو تغيير إلا بعد الرجوع والموافقة. المطلوب هو تنفيذ دقيق وفق هذا التصميم وليس البدء من الصفر. نطاق العمل (Phase 2) يشمل: إدارة الشحنات: - إنشاء الشحنات وربطها بالرحلات - إدارة البيانات والأصناف - توليد QR Code لكل شحنة - تتبع حالة الشحنة إدارة الرحلات: - إنشاء وإغلاق الرحلات - ربط الشحنات بالرحلات - تقارير الرحلات نظام المخزن: - استلام الشحنات عبر QR - نقل العهدة من المندوب إلى المخزن - تسجيل عمليات المخزن النظام المالي: - تنفيذ نظام Ledger (قيود محاسبية) - تسجيل التحصيل والتسوية - حساب رصيد المندوب بشكل مشتق التكاملات: - إرسال SMS للعملاء - تكامل مع الذكاء الاصطناعي (للتحليل فقط) المتطلبات التقنية: - Flutter (Clean Code وليس FlutterFlow) - Clean Architecture (Presentation / Domain / Data) - إدارة الحالة باستخدام BLoC - Firebase (Firestore + Cloud Functions + Authentication) - REST APIs - تنفيذ جميع Business Logic داخل Backend ما لن نقبله: - كود غير منظم أو بدون Architecture - تنفيذ منطق داخل الواجهة - حلول غير قابلة للتوسع - أي تنفيذ لا يطابق ما هو موثق داخل Notion المشروع قائم على مراحل، وهناك مراحل قادمة سيتم تنفيذها لاحقًا، وسيتم إعطاء أولوية للاستمرار للمطور الذي يثبت كفاءة والتزامًا في هذه المرحلة. الشروط والتنظيم: 1. يُعتبر محتوى Notion المرجع الأساسي والملزم للتنفيذ، ويتم الرجوع إليه في جميع تفاصيل المشروع. 2. جميع الأكواد والملفات الناتجة عن المشروع ملكية كاملة لصاحب المشروع. 3. يلتزم المطور بالحفاظ على سرية جميع المعلومات والملفات وعدم مشاركتها مع أي طرف. 4. يتم تنفيذ المشروع على مراحل (Milestones)، ولا يتم الانتقال لمرحلة إلا بعد اعتماد السابقة. 5. يلتزم المطور بتنفيذ العمل وفق أفضل الممارسات التقنية والمعمارية. 6. يلتزم المطور بإصلاح أي أخطاء ناتجة عن التنفيذ دون تكلفة إضافية ضمن نطاق المرحلة. 7. لا يُعتبر المشروع مكتملاً إلا بعد تسليم جميع المتطلبات وعملها بشكل صحيح. 8. يتم الرجوع إلى Notion في حال وجود أي اختلاف في الفهم أو التنفيذ. 9. يتم العمل بروح التعاون والتنسيق المستمر لضمان نجاح المشروع. هذا المشروع مخصص لتنفيذ نظام قائم ومُجهز مسبقًا، ويهدف إلى تنظيم العمل وضمان الحقوق بين الطرفين ضمن إطار واضح ومنظم.",مفتوح,2026-03-26 18:08:43,$1000.00 - $2500.00,"30
    يوما","flutter, Dart, Firebase Cloud Firestore, تصميم UI UX, BLoC, تطوير البرمجيات, هندسة البرمجيات",https://mostaql.com/project/1223813-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-flutter-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%84%D9%86%D8%B8%D8%A7%D9%85-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%B4%D8%AD%D9%86-%D9%84%D9%88%D8%AC%D8%B3%D8%AA%D9%8A
تعديل على موقع في مجال التخليص الجمركي,امتلك موقع يقوم بمتابعة موقع البيانات الجمركية الخاصة بي واريد عمل بعض التحسينات عليه تحسين البحث عمل بحث متقدم (بحث مجموعة من المدخلات في وقت واحد) تحسين واجهة العرض حل بعض المشاكل الموجودة,مفتوح,2026-03-26 18:04:56,$50.00 - $100.00,"7
    أيام","استكشاف الأخطاء وإصلاحها, برمجة مواقع, PHP, HTML, CSS, جافا سكريبت, تطوير البرمجيات, تحسين محركات البحث",https://mostaql.com/project/1223702-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%B9%D9%84%D9%89-%D9%85%D9%88%D9%82%D8%B9-%D9%81%D9%8A-%D9%85%D8%AC%D8%A7%D9%84-%D8%A7%D9%84%D8%AA%D8%AE%D9%84%D9%8A%D8%B5-%D8%A7%D9%84%D8%AC%D9%85%D8%B1%D9%83%D9%8A
تصميم موقع لمتجر موبايلات كامل باستخدام shopify,أرغب في تصميم وتطوير متجر إلكتروني احترافي ومتجاوب (Responsive) لبيع الموبايلات وجميع ملحقاتها باستخدام منصة Shopify، بحيث يكون الموقع سهل الاستخدام ويوفر تجربة مستخدم مميزة تساعد على زيادة المبيعات.,مفتوح,2026-03-26 17:50:46,$50.00 - $100.00,"7
    أيام","تصميم موقع إلكتروني, تصميم مواقع, التصميم الإبداعي, تصميم واجهة المستخدم, تصميم تجربة المستخدم, شوبيفاي",https://mostaql.com/project/1224005-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D9%84%D9%85%D8%AA%D8%AC%D8%B1-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84%D8%A7%D8%AA-%D9%83%D8%A7%D9%85%D9%84-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-shopify
بناء وتطوير العلامة الشخصية المهنية على لينكدإن والموقع الشخصي مع خبرة في SEO,أبحث عن مستقل محترف لدعم وتطوير علامتي الشخصية المهنية بشكل متكامل، ليس فقط عبر كتابة منشورات لينكدإن، ولكن أيضًا من خلال المساعدة في تقوية التموضع المهني، توحيد النغمة والرسائل عبر المنصات، ودعم ظهور موقعي الشخصي ومحركات البحث. المطلوب ليس كاتب محتوى عام، بل شخص لديه خبرة في: •	LinkedIn personal branding •	صياغة محتوى تنفيذي احترافي •	SEO والكلمات الدلالية •	توحيد الرسائل والنغمة عبر المنصات •	دعم الموقع الشخصي من ناحية الرسائل والمحتوى هذا التعاون مطلوب على المدى الطويل لمدة سنة، ولكن البداية ستكون عبر شهر تجريبي مدفوع لتقييم مدى التوافق في الجودة، الأسلوب، فهم العلامة الشخصية، وطريقة العمل. نطاق العمل يشمل العمل: •	تحويل أفكار أولية، ملاحظات، voice notes، أو insights مهنية إلى منشورات LinkedIn قوية •	إعداد content calendar شهري •	اقتراح زوايا محتوى مرتبطة بالاستدامة، تطوير الأعمال، الاستراتيجية، والنمو •	إعداد مسودات لمنشورات قصيرة أو طويلة، وdocument/carousel briefs، وnewsletter outlines •	المساعدة في تقوية العلامة الشخصية المهنية وربط الرسائل بين لينكدإن والموقع الشخصي •	الحفاظ على tone of voice موحّد واحترافي عبر جميع المنصات •	اقتراح كلمات دلالية وموضوعات تساعد على تحسين الظهور والـ discoverability •	دعم وتحسين النصوص أو الرسائل الخاصة بالموقع الشخصي عند الحاجة المهارات المطلوبة •	خبرة سابقة مثبتة في LinkedIn personal branding أو executive content writing •	كتابة احترافية قوية، ويفضل بالعربية والإنجليزية •	فهم جيد لـ SEO والكلمات الدلالية •	القدرة على العمل انطلاقًا من أفكار خام وغير مرتبة •	فهم جيد للمحتوى المهني المرتبط بالأعمال أو الاستشارات أو الاستدامة •	القدرة على الحفاظ على أسلوب كتابي احترافي، إنساني، وغير نمطي المخرجات المتوقعة شهريًا •	من 8 إلى 12 منشور LinkedIn •	2 outline لنشرات أو مقالات •	2 إلى 4 أفكار أو brief لمنشورات document/carousel •	content calendar شهري •	اقتراحات شهرية للكلمات الدلالية والموضوعات •	ملاحظات أو تحسينات على محتوى الموقع الشخصي عند الحاجة •	عدد محدد من جولات التعديل على كل قطعة محتوى عند التقديم يرجى إرسال •	نماذج أعمال مشابهة •	شرح مختصر لطريقة العمل •	التسعير الشهري أو الباقة المقترحة •	مدة التنفيذ •	توضيح الخبرة في SEO وتطوير العلامة الشخصية المهنية ملاحظة مهمة يرجى عدم التقديم إذا كانت الخبرة تقتصر على إدارة حسابات سوشيال ميديا عامة أو تصميمات فقط دون خبرة فعلية في LinkedIn personal branding وصياغة المحتوى التنفيذي والمحتوى الداعم للظهور والـ SEO. الأفضلية الأفضلية لمن لديه خبرة في المحتوى المهني التنفيذي أو البراند الشخصي أو مجالات مثل الاستشارات، الاستدامة، أو تطوير الأعمال.,مفتوح,2026-03-26 17:48:19,$250.00 - $500.00,"7
    أيام","إعادة صياغة المحتوى, تدقيق SEO, التسويق عبر لينكد إن, تصميم بوسترات, كتابة المحتوى, تحسين السيو الداخلي, التسويق الإلكتروني, إدارة التسويق",https://mostaql.com/project/1223987-%D8%A8%D9%86%D8%A7%D8%A1-%D9%88%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D9%85%D8%A9-%D8%A7%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D9%87%D9%86%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D9%84%D9%8A%D9%86%D9%83%D8%AF%D8%A5%D9%86-%D9%88%D8%A7%D9%84%D9%85%D9%88%D9%82%D8%B9-%D8%A7%D9%84%D8%B4%D8%AE%D8%B5%D9%8A-%D9%85%D8%B9-%D8%AE%D8%A8%D8%B1%D8%A9-%D9%81%D9%8A-seo
